,Character,Power_Level,Saga_or_Movie,Dragon_Ball_Series
186,Freezer,220000.0,Namek Saga,Dragon Ball Z
198,Vegeta,30000.0,Namek Saga,Dragon Ball Z
196,Zarbon,28500.0,Namek Saga,Dragon Ball Z
187,Dodoria,22000.0,Namek Saga,Dragon Ball Z
192,Cui,18000.0,Namek Saga,Dragon Ball Z
200,Nail,17000.0,Namek Saga,Dragon Ball Z
199,Gohan,14000.0,Namek Saga,Dragon Ball Z
195,Krillin,13000.0,Namek Saga,Dragon Ball Z
194,Goku,12000.0,Namek Saga,Dragon Ball Z
197,Appule,5000.0,Namek Saga,Dragon Ball Z
190,Guerreros N.,3000.0,Namek Saga,Dragon Ball Z
189,Namekianos,1000.0,Namek Saga,Dragon Ball Z
185,Bulma,4.0,Namek Saga,Dragon Ball Z
191,Dende,3.0,Namek Saga,Dragon Ball Z
